,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
11,Davi Santos,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1641050/image,9.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,19.0,6.4,5.0,0.0,0.0,0.0,5.0
12,Roberto da Silva de Carvalho,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1641052/image,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,6.4,1.0,0.0,1.0,0.09,3.0
13,Rodrigo Dantas,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/587388/image,12.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,6.4,3.0,0.0,0.0,0.0,0.0
14,Hugo Cabral,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/331407/image,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0,6.3,1.0,0.0,0.0,0.0,0.0
15,Gustavo Tonoli,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/975404/image,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,6.5,4.0,0.0,0.0,0.0,1.0
16,Diogo,G,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1113551/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Igor Belmiro da Silva Santos,G,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1641051/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Pablo Ricardo,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1016991/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Yan Oliveira,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1020276/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Guilherme,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/981383/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Gabriel Agú,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1173053/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Rafael Pernão,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/251241/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Matheus Cunha,G,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1105835/image,20.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,22.0,7.4,1.0,0.0,0.0,0.0,0.0
1,Matheus França,D,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/931540/image,43.0,37.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,60.0,7.7,7.0,0.0,0.0,0.0,8.0
2,Pablo,D,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/243735/image,69.0,68.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,81.0,7.3,1.0,0.0,0.0,0.0,1.0
3,Diegão,D,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1514628/image,86.0,81.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,101.0,7.0,6.0,0.0,0.0,0.0,1.0
4,Zé Welinton,D,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1199430/image,46.0,38.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,59.0,6.7,5.0,0.07,0.0,0.0,1.0
5,Thiago Maia,M,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/358550/image,46.0,40.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,57.0,6.6,5.0,0.0,0.0,0.0,2.0
6,Werton,M,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1116390/image,20.0,11.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,8.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,43.0,6.8,16.0,0.0,0.0,0.0,7.0
7,Evertton,M,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1145106/image,37.0,33.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,52.0,6.9,8.0,0.06,0.0,0.0,5.0
8,Rayan Lucas,M,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1588180/image,49.0,48.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,64.0,7.1,4.0,0.0,0.0,0.0,8.0
9,Petterson Novaes Reis,M,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,https://api.sofascore.com/api/v1/player/1403694/image,34.0,29.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,7.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,7.2,8.0,0.0,2.0,0.12,4.0
